Designator Comment                                                       Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
VD9_A8     ""                                                            TopLayer    LED_3535                     -244.095      2641.731      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD9_A7     ""                                                            TopLayer    LED_3535                     -244.095      2389.763      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD9_A6     ""                                                            TopLayer    LED_3535                     -244.095      2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD9_A5     ""                                                            TopLayer    LED_3535                     -244.095      1885.826      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD9_A4     ""                                                            TopLayer    LED_3535                     -244.095      1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD9_A3     ""                                                            TopLayer    LED_3535                     -244.095      1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A11    ""                                                            TopLayer    LED_3535                     -1755.906     3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A10    ""                                                            TopLayer    LED_3535                     -1755.906     3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A9     ""                                                            TopLayer    LED_3535                     -1755.906     2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A8     ""                                                            TopLayer    LED_3535                     -1755.906     2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A7     ""                                                            TopLayer    LED_3535                     -1755.906     2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A6     ""                                                            TopLayer    LED_3535                     -1755.906     2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A5     ""                                                            TopLayer    LED_3535                     -1755.906     1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A4     ""                                                            TopLayer    LED_3535                     -1755.906     1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
