Designator Comment                                                       Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
VD3_A2     ""                                                            TopLayer    LED_3535                     -999.980      1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A2     ""                                                            TopLayer    LED_3535                     -2511.811     1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A2     ""                                                            TopLayer    LED_3535                     -1251.949     1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
C2_A2      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2149.606     1307.087      0        ""                                                                                                                                                       
DA1        TP4056-42-SOP8-PP                                             BottomLayer eSOP-8                       -2246.063     984.252       90       "1A Standalone Linear Li-lon Battery Charger"                                                                                                            
A1         ESP32-WROOM-32E-N16                                           BottomLayer ESP32-WROOM-32E_Module       -631.890      651.181       0        "Bluetooth, WiFi 802.11b/g/n Transceiver Module 2.4GHz PCB antenna SMD module"                                                                           
X6         1054500101                                                    BottomLayer 1054500101                   -2562.402     456.693       90       "Universal Serial Bus (USB) Shielded I/O Receptacle, Type C, Right-Angle, Top Mount,Surface Mount, Gold (Au) Flash over 0.76?m Palladium Nickel Plating" 
SW2        Brightness                                                    BottomLayer IT-1188E                     -80.217       2785.433      90       "3x6 Tact Switch Series"                                                                                                                                 
VT3        BSS138                                                        BottomLayer SOT23                        -1538.386     358.268       0        "20V Single N-Channel HEXFET Power MOSFET in a Micro 3 package"                                                                                          
VT2        BSS138                                                        BottomLayer SOT23                        -1309.055     358.268       180      "20V Single N-Channel HEXFET Power MOSFET in a Micro 3 package"                                                                                          
U1         CH340C                                                        BottomLayer SOIC127P600X175-16AN         -1330.709     807.087       270      "IC USB UART 16-SOIC"                                                                                                                                    
SW4        Password                                                      BottomLayer IT-1188E                     -2675.689     2785.433      270      "3x6 Tact Switch Series"                                                                                                                                 
SW3        LEDs                                                          BottomLayer IT-1188E                     -80.217       3826.772      90       "3x6 Tact Switch Series"                                                                                                                                 
C29        "100 nF"                                                      BottomLayer C0805_YA                     -1165.354     354.331       270      "cap 0805"                                                                                                                                               
C25        "10 uF"                                                       BottomLayer C0805_YA                     -1086.614     354.331       270      "cap 0805"                                                                                                                                               
VT1        BSS138                                                        BottomLayer SOT23                        -1780.512     472.441       0        "20V Single N-Channel HEXFET Power MOSFET in a Micro 3 package"                                                                                          
U2         TSOP75238                                                     BottomLayer HEIMDALL                     -2322.835     118.110       180      "IC IR Remote Control Receiver, 36 kHz"                                                                                                                  
R6         "1 kOhm"                                                      BottomLayer R0805_YA                     -1850.394     318.898       180      "RES ?�?% SMD0805"                                                                                                                                       
C26        "1 uF"                                                        BottomLayer C0805_YA                     -1086.614     503.937       90       "cap 0805"                                                                                                                                               
X7         S3B-PH-SM4-TB                                                 BottomLayer JST_S3B-PH-SM4-TB(LF)(SN)    -703.740      4015.748      270      "2.0mm pitch/Disconnectable Crimp style connector"                                                                                                       
VT4        AO3401                                                        BottomLayer SOT23                        -2307.087     1267.716      180      "-30V P-Channel Enhancement Mode MOSFET"                                                                                                                 
U3         MT3608                                                        BottomLayer SOT23-6                      -2001.968     1145.669      180      "Step-Up converter SOT23-6"                                                                                                                              
R21        "2.2 kOhm"                                                    TopLayer    R0805_YA                     -2022.638     746.063       180      "RES ?�?% SMD0805"                                                                                                                                       
R20        "16 kOhm"                                                     TopLayer    R0805_YA                     -1895.669     746.063       0        "RES ?�?% SMD0805"                                                                                                                                       
R10        "1.2 kOhm"                                                    BottomLayer R0805_YA                     -2190.945     730.315       180      "RES ?�?% SMD0805"                                                                                                                                       
R3         0.2                                                           BottomLayer R1206                        -2310.039     696.850       270      "RES 0.2�5% SMD1206"                                                                                                                                     
L1         "22 uH"                                                       BottomLayer IND_SUMIDA_SMD_10.5x10.3x5.1 -1842.520     873.032       0        "SMD 10.5x10.3x5.1"                                                                                                                                      
DA2        LM8805SF5-3.3                                                 BottomLayer SOT23-5_HD                   -2020.472     598.425       180      "Fixed ULDO 3.3V 0.6A"                                                                                                                                   
C28        "22 uF"                                                       BottomLayer C1206_YA                     -1703.740     1279.528      0        "cap 1206"                                                                                                                                               
C27        "22 uF"                                                       BottomLayer C1206_YA                     -2244.095     405.512       0        "cap 1206"                                                                                                                                               
C24        "22 uF"                                                       BottomLayer C1206_YA                     -1454.842     1279.528      180      "cap 1206"                                                                                                                                               
C23        "22 uF"                                                       BottomLayer C1206_YA                     -2244.095     496.063       0        "cap 1206"                                                                                                                                               
C22        "100 nF"                                                      BottomLayer C0805_YA                     -1512.795     1158.465      180      "cap 0805"                                                                                                                                               
C20        "470 pF"                                                      BottomLayer C0805_YA                     -2000.000     452.756       90       "cap 0805"                                                                                                                                               
C18        "22 uF"                                                       BottomLayer C1206_YA                     -1948.819     1279.528      180      "cap 1206"                                                                                                                                               
C17        "22 uF"                                                       BottomLayer C1206_YA                     -1807.087     616.142       180      "cap 1206"                                                                                                                                               
C15        "1 uF"                                                        BottomLayer C0805_YA                     -2311.024     1475.394      90       "cap 0805"                                                                                                                                               
C13        "10 uF"                                                       BottomLayer C0805_YA                     -2220.695     627.298       270      "cap 0805"                                                                                                                                               
C12        "100 nF"                                                      BottomLayer C0805_YA                     -1346.457     1007.874      180      "cap 0805"                                                                                                                                               
C11        "100 nF"                                                      BottomLayer C0805_YA                     -1488.189     590.551       90       "cap 0805"                                                                                                                                               
